run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,on_time_percent,delayed_over_15_percent,severe_delay_percent,estimated_delayed_flights,estimated_severe_delay_flights
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,A,S,210,0,43,1.185771,32.01581,31.225296,8.695652,4.347826,2.766798,0.395257,1.976285,0.395257,0.0,16.996047,19.0,323,61.870504,15.0,63.241106,18.577075,5.533597,39.0118575,11.6205537
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,C,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0,0.0,,0.0,100.0,0.0,1.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,S,208,0,20,2.631579,48.245614,16.22807,3.070175,9.210526,7.017544,3.947368,0.877193,0.0,0.0,8.77193,22.0,325,59.0,21.0,64.473684,24.122806,11.842105,50.17543648,24.6315784
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,INVERNESS,BRITISH AIRWAYS PLC,A,S,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,INVERNESS,BRITISH AIRWAYS PLC,D,S,2,0,0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0.0,,50.0,50.0,0.0,1.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,INVERNESS,EASYJET UK LTD,A,S,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,100.0,9.0,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,INVERNESS,EASYJET UK LTD,D,S,3,0,0,33.333333,0.0,0.0,33.333333,33.333333,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1,0.0,116.0,0.0,66.666666,0.0,1.9999999800000001,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,INVERNESS,LOGANAIR LTD,A,S,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,INVERNESS,LOGANAIR LTD,D,S,1,0,1,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0,0.0,,50.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,ISLE OF MAN,LOGANAIR LTD,A,S,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,JERSEY,LOGANAIR LTD,D,C,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,A,C,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,100.0,4.0,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,A,S,813,0,32,24.970414,43.786982,15.147929,4.733728,3.431953,2.840237,0.710059,0.35503,0.236686,0.0,3.786982,9.0,702,76.693767,12.0,58.934911,12.307692999999999,4.142012,100.06154408999998,33.674557560000004
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,D,C,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,D,S,820,0,26,5.555556,48.108747,30.378251,4.609929,4.609929,2.600473,0.591017,0.472813,0.0,0.0,3.073286,9.0,700,74.932249,16.0,78.486998,12.884161,3.664303,105.6501202,30.047284599999998
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,LIVERPOOL (JOHN LENNON),EASYJET UK LTD,A,S,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,A,S,723,0,4,23.246217,41.403026,20.495186,5.089409,6.05227,2.200825,0.550206,0.275103,0.137552,0.0,0.550206,9.0,729,66.441137,20.0,61.898212,14.305364999999998,3.163686,103.42778895,22.87344978
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,D,S,725,0,4,0.411523,57.750343,26.474623,5.486968,4.526749,2.743484,0.823045,0.685871,0.548697,0.0,0.548697,12.0,731,74.018945,19.0,84.224966,14.814814000000002,4.8010969999999995,107.40740150000002,34.80795325
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,HEATHROW,BA EUROFLYER LTD DBA BRITISH AIRWAYS,A,S,3,0,0,66.666667,33.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,33.333333,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,HEATHROW,BA EUROFLYER LTD DBA BRITISH AIRWAYS,D,S,3,0,0,33.333333,66.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,66.666667,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,A,S,2347,0,55,19.275604,39.217319,22.314738,8.617818,5.537052,2.248127,0.374688,0.124896,0.0,0.0,2.289759,8.0,2322,70.174709,14.0,61.532057,16.902580999999998,2.7477110000000002,396.70357607,64.48877717
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,D,S,2341,0,59,3.125,55.125,23.958333,7.083333,4.916667,2.583333,0.375,0.291667,0.083333,0.0,2.458333,9.0,2321,73.139293,12.0,79.083333,15.333333,3.333333,358.95332553000003,78.03332553
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,HEATHROW,LOGANAIR LTD,A,S,1,1,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,5,0.0,84.0,50.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,A,S,240,0,2,14.049587,38.842975,24.380165,7.438017,7.85124,4.958678,0.826446,0.826446,0.0,0.0,0.826446,14.0,289,70.169492,14.0,63.22314,21.900827,6.6115699999999995,52.5619848,15.867767999999998
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,D,S,238,0,4,3.719008,42.975207,29.338843,7.438017,7.438017,4.545455,1.239669,1.652893,0.0,0.0,1.652893,16.0,290,67.905405,17.0,72.31405,22.314051,7.438016999999999,53.10744138,17.70248046
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,STANSTED,EASYJET UK LTD,A,S,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,STANSTED,TITAN AIRWAYS LTD,A,C,3,0,0,0.0,0.0,33.333333,0.0,0.0,66.666667,0.0,0.0,0.0,0.0,0.0,43.0,0,0.0,,33.333333,66.666667,66.666667,2.00000001,2.00000001
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,STANSTED,TITAN AIRWAYS LTD,D,C,3,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,A,S,787,0,22,17.923362,39.678616,17.923362,9.394314,7.416564,2.472188,1.359703,1.112485,0.0,0.0,2.719407,14.0,848,80.371661,11.0,57.601978,21.755253999999997,4.944376,171.21384897999997,38.91223912
